Ground,Margin,Match Date,Scorecard,Team 1,Team 2,Winner,Number of Records
Bridgetown,99 runs,19/04/2007,ODI # 2576,West Indies,Bangladesh,West Indies,1
St George's,215 runs,20/04/2007,ODI # 2577,Australia,New Zealand,Australia,1
Bridgetown,1 wicket,21/04/2007,ODI # 2578,West Indies,England,England,1
Kingston,81 runs,24/04/2007,ODI # 2579,New Zealand,Sri Lanka,Sri Lanka,1
Gros Islet,7 wickets,25/04/2007,ODI # 2580,Australia,South Africa,Australia,1
Bridgetown,53 runs,28/04/2007,ODI # 2581,Australia,Sri Lanka,Australia,1
Dhaka,87 runs,19/02/2011,ODI # 3100,Bangladesh,India,India,1
Chennai,10 wickets,20/02/2011,ODI # 3101,Kenya,New Zealand,New Zealand,1
Hambantota,210 runs,20/02/2011,ODI # 3102,Sri Lanka,Canada,Sri Lanka,1
Ahmedabad,91 runs,21/02/2011,ODI # 3103,Australia,Zimbabwe,Australia,1
Nagpur,6 wickets,22/02/2011,ODI # 3104,England,Netherlands,England,1
Hambantota,205 runs,23/02/2011,ODI # 3105,Kenya,Pakistan,Pakistan,1
Delhi,7 wickets,24/02/2011,ODI # 3106,South Africa,West Indies,South Africa,1
Nagpur,7 wickets,25/02/2011,ODI # 3107,Australia,New Zealand,Australia,1
Dhaka,27 runs,25/02/2011,ODI # 3108,Bangladesh,Ireland,Bangladesh,1
Colombo (RPS),11 runs,26/02/2011,ODI # 3109,Sri Lanka,Pakistan,Pakistan,1
Bengaluru,,27/02/2011,ODI # 3110,India,England,tied,1
Nagpur,175 runs,28/02/2011,ODI # 3111,Canada,Zimbabwe,Zimbabwe,1
Delhi,215 runs,28/02/2011,ODI # 3112,Netherlands,West Indies,West Indies,1
Colombo (RPS),9 wickets,01/03/2011,ODI # 3113,Sri Lanka,Kenya,Sri Lanka,1
Bengaluru,3 wickets,02/03/2011,ODI # 3114,England,Ireland,Ireland,1
Mohali,231 runs,03/03/2011,ODI # 3115,Netherlands,South Africa,South Africa,1
Colombo (RPS),46 runs,03/03/2011,ODI # 3116,Canada,Pakistan,Pakistan,1
Ahmedabad,10 wickets,04/03/2011,ODI # 3117,New Zealand,Zimbabwe,New Zealand,1
Dhaka,9 wickets,04/03/2011,ODI # 3118,Bangladesh,West Indies,West Indies,1
Colombo (RPS),,05/03/2011,ODI # 3119,Sri Lanka,Australia,no result,1
Chennai,6 runs,06/03/2011,ODI # 3120,England,South Africa,England,1
Bengaluru,5 wickets,06/03/2011,ODI # 3121,India,Ireland,India,1
Delhi,5 wickets,07/03/2011,ODI # 3122,Canada,Kenya,Canada,1
Pallekele,110 runs,08/03/2011,ODI # 3123,New Zealand,Pakistan,New Zealand,1
Delhi,5 wickets,09/03/2011,ODI # 3124,India,Netherlands,India,1
Pallekele,139 runs,10/03/2011,ODI # 3125,Sri Lanka,Zimbabwe,Sri Lanka,1
Mohali,44 runs,11/03/2011,ODI # 3126,Ireland,West Indies,West Indies,1
